#3,Observation,Not an observation,mech/seal leaking pump #3 mini
&,Observation,Not an observation,"mech seal leak, passing &   $drive belts have snapped & fallen off.   repack gland, leaking & no more take up   ?32g-1a blocked & holed suction leg"
& groutin,Observation,Not an observation,d/c pump base requires packing & groutin
&align,Observation,Not an observation,"lift motor, clean base,open holes &align"
(r,Observation,Not an observation,haz pump pump. fan cowel rusty (rs
(rsh),Observation,Not an observation,"replace fan cowl, corroding (rsh)"
24tk,Observation,Not an observation,haz pump motor/pump u/s @ 24tk.
2526,Observation,Not an observation,haz dis b/v valve u/s p 2526
50%,Observation,Not an observation,$ (fc-04337)- valve sticking at 50%
a,Observation,Not an observation,maint. oil cooler needs a clean
a thorough inspection,Observation,Not an observation,cm-perform a thorough inspection of moun
a trip hazard,Observation,Not an observation,haz. grid mesh causing a trip hazard
acid,Observation,Not an observation,acid mixing tee wtp   pump. leaks acid.
active,Observation,Not an observation,oil contamination alarm active
adequate lubrication,Observation,Not an observation,cm-ensure adequate lubrication of motor
adrift,Observation,Other,haz -valve handle has come adrift
advised,Observation,Not an observation,no output to vsd- shift sparky advised
after a short run time,Observation,Not an observation,$m9 pump tripping after a short run time
air,Observation,Not an observation,vacuum pulse air not working   air not getting to pump
alarmed,Observation,Not an observation,rotork valve 23005 alarmed
alarming,Observation,Not an observation,stroke indication alarming
alarming constantlt,Observation,Not an observation,suction lo pressure alarming constantlt
alarming eratically,Observation,Abnormal instrument reading,low suction pressure alarming eratically
alarming vibration,Observation,Vibration,cm-f2g45b alarming vibrations
aligned,Observation,Not an observation,motor to be lifted cleaned and aligned
allowing,Observation,Not an observation,mech screen allowing trash in sump
alot of,Observation,Not an observation,"repack gland, leaking alot of product"
and,Observation,Not an observation,$5g15b noisy and not holding pressure   pump. base corroded and lifting   $$sump pump seized and not pumping
anti-scalant,Observation,Not an observation,haz pump pump. leaks anti-scalant
any time,Observation,Not an observation,78w elec svce motor & mcc any time
appear,Observation,Not an observation,pump appears to have no belt
appears loose,Observation,Minor in-service problems,south piston hydranut appears loose
appears to be,Observation,Not an observation,pump appears to be siezed
are not operational,Observation,Other,level floats are not operational
away,Observation,Not an observation,pump. feet corroded away.
b,Observation,Not an observation,investigate/repair no turbulence b sw
bad,Observation,Not an observation,nth shaft seal bad oil leak into bucket.   bad static earth on sce   bad suction/blocked pipework   pump speed control bad quality   bad static earth on pump   pump bad noise
bad vibration,Observation,Vibration,$ motor pump has bad vibration
badly,Observation,Not an observation,haz badly corroded fan cover pump   $pump casing leaking badly   $$ pump pump. seal leaks badly.   badly corroded valve pump pump
badly corr,Observation,Structural deficiency,wld scope 32-g4 floc pmp base badly corr
badly corrod,Observation,Structural deficiency,bc motor fan cover badly corrod
badly corroded,Observation,Structural deficiency,pump and motor badly corroded   motor fins & feet badly corroded should   haz motor fan cover badly corroded   motor badly corroded   pump and barrel badly corroded
badly corroded in,Observation,Structural deficiency,haz cs studs badly corroded in ss flange
badly rusted,Observation,Structural deficiency,bcsd motor is badly rusted
badly worn,Observation,Structural deficiency,res flush pump badly worn   drive pulley badly worn
badly.replace,Observation,Not an observation,delete ?gland leaking badly.replace pack
